gain	12	7	-85.87
gain	7	13	-32.50
gain	13	7	-32.40
gain	7	14	-68.03
gain	14	7	-68.04
gain	7	15	-91.50
gain	15	7	-90.84
gain	7	16	-80.56
gain	16	7	-79.42
gain	7	17	-56.02
gain	17	7	-56.73
gain	7	18	-66.09
gain	18	7	-68.72
gain	7	19	-72.81
gain	19	7	-72.82
gain	8	9	-81.60
gain	9	8	-80.45
gain	8	10	-82.53
gain	10	8	-80.01
gain	8	11	-72.25
gain	11	8	-69.21
gain	8	12	-74.47
gain	12	8	-72.40
gain	8	13	-84.11
gain	13	8	-82.07
gain	8	14	-74.75
gain	14	8	-72.81
gain	8	15	-74.07
gain	15	8	-71.48
gain	8	16	-64.35
gain	16	8	-61.28
gain	8	17	-87.50
gain	17	8	-86.26
gain	8	18	-83.02
gain	18	8	-83.71
gain	8	19	-81.13
gain	19	8	-79.20
gain	9	10	-94.57
gain	10	9	-93.20
gain	9	11	-93.18
gain	11	9	-91.29
gain	9	12	-56.09
gain	12	9	-55.16
gain	9	13	-94.50
gain	13	9	-93.60
gain	9	14	-87.54
gain	14	9	-86.76
gain	9	15	-84.72
gain	15	9	-83.28
gain	9	16	-84.29
gain	16	9	-82.37
gain	9	17	-87.37
gain	17	9	-87.29
gain	9	18	-91.97
gain	18	9	-93.81
gain	9	19	-77.76
gain	19	9	-76.98
gain	10	11	-74.43
gain	11	10	-73.92
gain	10	12	-82.01
gain	12	10	-82.46
gain	10	13	-94.37
gain	13	10	-94.86
gain	10	14	-86.63
gain	14	10	-87.22
gain	10	15	-67.56
gain	15	10	-67.49
gain	10	16	-69.69
gain	16	10	-69.14
gain	10	17	-94.05
gain	17	10	-95.34
gain	10	18	-89.57
gain	18	10	-92.78
gain	10	19	-90.31
gain	19	10	-90.91
gain	11	12	-83.73
gain	12	11	-84.69
gain	11	13	-87.11
gain	13	11	-88.10
gain	11	14	-61.77
gain	14	11	-62.87
gain	11	15	-84.62
gain	15	11	-85.06
gain	11	16	-66.44
gain	16	11	-66.40
gain	11	17	-88.03
gain	17	11	-89.84
gain	11	18	-76.65
gain	18	11	-80.37
gain	11	19	-88.47
gain	19	11	-89.57
gain	12	13	-81.67
gain	13	12	-81.70
gain	12	14	-84.28
gain	14	12	-84.42
gain	12	15	-80.52
gain	15	12	-80.00
gain	12	16	-74.76
gain	16	12	-73.76
gain	12	17	-89.84
gain	17	12	-90.68
gain	12	18	-93.17
gain	18	12	-95.93
gain	12	19	-75.10
gain	19	12	-75.25
gain	13	14	-68.55
gain	14	13	-68.66
gain	13	15	-90.28
gain	15	13	-89.73
gain	13	16	-78.00
gain	16	13	-76.96
gain	13	17	-53.87
gain	17	13	-54.69
gain	13	18	-52.68
gain	18	13	-55.41
gain	13	19	-75.77
gain	19	13	-75.88
gain	14	15	-83.06
gain	15	14	-82.41
gain	14	16	-64.35
gain	16	14	-63.21
gain	14	17	-79.35
gain	17	14	-80.05
gain	14	18	-71.33
gain	18	14	-73.95
gain	14	19	-79.72
gain	19	14	-79.72
gain	15	16	-75.39
gain	16	15	-74.91
gain	15	17	-97.79
gain	17	15	-99.15
gain	15	18	-91.77
gain	18	15	-95.05
gain	15	19	-90.55
gain	19	15	-91.21
gain	16	17	-84.12
gain	17	16	-85.96
gain	16	18	-80.89
gain	18	16	-84.65
gain	16	19	-83.83
gain	19	16	-84.97
gain	17	18	-72.60
gain	18	17	-74.52
gain	17	19	-70.59
gain	19	17	-69.89
gain	18	19	-88.23
gain	19	18	-85.61
noise	0	-103.90	4.00
noise	1	-105.32	4.00
noise	2	-105.91	4.00
noise	3	-105.23	4.00
noise	4	-104.65	4.00
noise	5	-104.84	4.00
noise	6	-105.98	4.00
noise	7	-105.12	4.00
noise	8	-103.85	4.00
noise	9	-104.56	4.00
noise	10	-105.24	4.00
noise	11	-107.34	4.00
noise	12	-105.26	4.00
noise	13	-106.06	4.00
noise	14	-104.62	4.00
noise	15	-106.85	4.00
noise	16	-104.80	4.00
noise	17	-105.52	4.00
noise	18	-104.06	4.00
noise	19	-105.47	4.00
